course_code,units,title,description
FPS 161,3 units,Structure & Properties of Fibers,"Structure, properties and reactions of natural- and man-made fibers; the relations between molecular structure of fibers and their physical properties; interactions of fibers and detergents."
FPS 161L,1 unit,Textile Chemical Analysis Laboratory,Laboratory methods and procedures employed in qualitative and quantitative analysis of textile fibers and auxiliaries.
FPS 180A,2 units,Introduction to Research in Fiber & Polymer Science,Senior thesis on independent problems. Research begun in TXC 180A continued and completed in TXC 180B.
FPS 180B,2 units,Introduction to Research in Fiber & Polymer Science,Senior thesis on independent problems. Research begun in TXC 180A continued and completed in TXC 180B.
FPS 192,1-12 units,Internship in Fiber & Polymer Science,Work experience off campus in a fiber and polymer science related area. Supervision by a member of the Textiles and Clothing faculty.
FPS 197T,1-5 units,Tutoring in Fiber & Polymer Science,Tutoring of students in Fiber & Polymer Science courses. Assistance with discussion groups and laboratory sections under supervision of instructor.
FPS 198,1-5 units,Directed Group Study,Group study.
FPS 199,1-5 units,Special Study for Advanced Undergraduates,Special study.
FPS 250A,3 units,Special Topics in Polymer & Fiber Science,Selected topics of current interest in polymer and fiber sciences. Topics vary each time course is offered.
FPS 250B,3 units,Special Topics in Polymer & Fiber Science,Selected topics of current interest in polymer and fiber sciences. Topics vary each time course is offered.
FPS 250E,3 units,Special Topics in Polymer & Fiber Science,Selected topics of current interest in polymer and fiber sciences. Topics vary each time course is offered.
FPS 299,1-12 units,Research,Research.
FPS 396,1-4 units,Teaching Assistant Training Practicum,"Teaching assistant, training practicum."
FMS 045,4 units,Vampires & Other Horrors in Film & Media,"History of representations of vampires and horror generally from the 19th-21st centuries. Emphasis on transnational history of the horror genre; psychologies of horror effects; issues of race, gender, and class; intersections with prejudice, medicine, modernity."
FMS 090X,4 units,Lower Division Seminar,Study of a special topic in Film Studies in a small class setting.
FMS 120,4 units,Italian-American Cinema,"Exploration of representations of Italian-American identity in American (U.S.) cinema. Analysis of both Hollywood and independently produced films, especially as they represent ethnicity, gender, and social class of Italian Americans."
FMS 121,4 units,New Italian Cinema,"Italian cinema of the 21st century in the context of profound cultural and social changes in Italy since World War II. Productions by representative directors such as Amelio, Giordana, Moretti, Muccino are included. Knowledge of Italian not required."
FMS 121S,4 units,New Italian Cinema,"Italian cinema of the 21st century in the context of profound cultural and social changes in Italy since World War II. Productions by representative directors such as Amelio, Giordana, Moretti, Muccino are included. Knowledge of Italian not required."
FMS 127,4 units,Film Theory,"Survey of the conceptual frameworks used to study film (including semiotics, psychoanalysis, spectatorship, auteur, genre and narrative theories). Historical survey of major film theorists."
FMS 129,4 units,Russian Film,"History of Russian film; film & social revolution, the cult of Stalin, dissident visions; film & the collapse of the Soviet empire; gender and the nation in Russian film. Taught in English; Russian films with English subtitles."
FMS 142,4 units,New German Cinema,"German filmmakers of the 1960s-1980s such as Fassbinder, Herzog, Syberberg, Brückner, Schlöndorf, Kluge, Wenders. Knowledge of German is not required."
FMS 176A,4 units,Classic Weimar Cinema,"German Weimar (1919-1933) cinema. Fritz Lang, F.W. Murnau, and G.W. Pabst among others. Influence on world-wide (esp. Hollywood) film genres such as film noir, horror, science fiction, and melodrama."
FMS 176B,4 units,Postwar German Cinema,"Exploration of German cinema from 1945 to 1980, when the Nazi past was a central theme. Includes study of postwar ""rubble films,"" escapist ""homeland films,"" and New German Cinema of the 1970s (including films by Fassbinder, Kluge, Syberberg, and Herzog)."
FMS 190X,4 units,Upper Division Seminar,Study of a special topic in film studies in a small class setting.
FAH 098,1-4 units,Directed Group Study,Directed group study.
FAH 198,1-4 units,Directed Group Study,Directed group study.
FST 001,3 units,Principles of Food Science,Food science fundamentals. Fresh and processed food technologies; world food problems; food composition; food microbiological and toxicological safety; food laws; evaluation of acceptability and nutritional value.
FST 003,3 units,Introduction to Brewing & Beer,"Basic description of brewing and associated processes, from raw materials to final product; history of brewing and brewing science; types of beer worldwide; world beer markets; basics of beer quality, including wholesomeness; role of scientist in brewing."
FST 003V,3 units,Introduction to Brewing & Beer,"Basic description of brewing and associated processes, from raw materials to final product; history of brewing and brewing science; types of beer worldwide; world beer markets; basics of beer quality, including wholesomeness; role of scientist in brewing."
